files changed,lines added,lines deleted
1,5,0
2,8,2
2,24,2
1,30,8
2,11,0
1,15,6
2,21,3
1,28,9
1,14,2
1,39,10
5,26,13
1,9,5
1,4,4
1,21,1
1,34,7
2,14,2
1,13,2
1,23,0
1,17,1
1,9,7
1,20,22
1,2,2
1,61,17
1,7,3
1,17,8
2,7,2
1,4,4
1,4,4
1,6,2
1,6,2
1,53,32
1,1,1
1,1,1
1,14,5
2,20,20
1,6,1
1,10,5
1,49,25
1,8,0
1,8,0
1,5,4
2,9,1
5,27,12
1,27,9
4,45,18
1,11,10
2,19,4
2,20,3
1,7,0
2,8,0
1,3,0
1,2,0
1,9,5
1,52,1
1,5,0
1,62,12
1,14,3
1,6,0
2,12,0
2,14,28
1,5,0
1,3,1
3,25,27
1,5,15
1,9,16
1,3,2
1,3,1
1,7,0
1,4,2
3,13,10
1,3,2
3,24,27
1,7,0
1,20,4
1,12,9
1,20,22
1,2,2
1,8,0
4,15,3
4,6,6
1,1,1
3,27,6
2,55,20
1,2,0
1,6,0
1,5,2
1,4,1
2,12,0
4,23,9
3,84,6
5,51,1
3,27,6
1,1,0
1,13,5
3,17,0
2,4,4
3,16,2
3,23,11
1,33,2
1,8,1
1,46,0
1,4,4
1,19,3
6,37,20
2,43,6
3,23,1
1,5,1
2,9,0
2,93,24
1,9,2
1,20,6
3,79,6
1,6,0
1,9,3
1,13,0
1,9,3
1,60,1
1,33,17
1,7,0
3,50,15
3,88,49
1,26,3
1,10,1
1,34,18
2,4,1
1,24,1
1,2,2
1,4,0
2,6,5
1,1,13
1,2,0
1,19,13
1,14,16
1,10,0
1,1,1
1,29,4
1,2,0
1,1,1
1,11,5
1,3,0
1,33,17
1,2,2
1,3,1
1,5,4
5,58,23
1,10,8
1,6,1
1,11,1
1,7,0
1,18,0
3,21,2
3,18,2
1,2,0
1,37,0
1,8,1
2,6,3
3,38,14
1,14,2
6,15,4
1,7,1
1,13,1
1,1,1
1,4,3
1,5,5
2,51,7
1,1,1
1,2,1
1,9,0
1,1,0
1,12,3
1,22,2
1,1,1
2,38,41
1,4,2
2,50,12
1,7,0
1,2,1
10,59,31
2,63,40
1,6,1
1,28,16
1,6,0
2,7,0
1,10,0
1,1,1
1,7,0
1,3,0
1,5,0
1,11,0
1,1,0
1,22,5
2,13,1
1,34,0
1,1,1
1,7,0
2,12,4
2,8,8
1,23,1
1,5,0
1,39,9
7,30,14
2,48,6
3,35,7
2,48,6
3,35,7
2,17,0
2,17,0
1,8,0
6,61,32
1,1,1
3,82,19
5,61,3
1,4,0
2,4,4
1,9,1
1,10,2
1,10,2
1,10,1
1,8,0
1,18,2
2,12,2
1,18,0
1,1,0
1,1,0
1,12,0
1,19,1
2,2,1
2,2,1
1,1,1
1,21,8
1,10,1
2,32,0
1,18,5
1,15,3
2,3,3
4,34,4
2,12,5
1,13,1
1,18,0
2,8,3
1,53,14
1,4,2
2,27,16
2,30,15
1,14,0
1,9,4
1,16,3
1,1,1
1,1,0
2,8,1
1,8,0
1,8,28
3,35,5
1,9,1
2,6,11
1,7,7
1,33,6
4,29,13
12,43,5
2,8,2
1,1,1
1,44,36
1,3,0
1,5,4
3,27,12
1,4,4
1,6,3
2,41,18
1,3,1
1,45,0
2,37,5
1,1,1
1,6,0
3,71,3
1,25,3
4,57,2
2,7,1
2,3,3
1,9,0
6,25,0
1,19,2
2,4,1
1,15,1
1,6,2
1,1,0
2,28,14
1,15,5
1,23,1
3,28,0
2,5,1
1,7,1
1,15,3
1,2,2
1,9,4
1,66,22
1,19,1
1,5,2
1,1,1
1,1,1
1,21,2
1,7,0
1,2,1
1,3,0
1,4,0
3,84,0
1,3,1
1,4,4
1,3,3
3,13,9
3,23,7
1,54,2
1,13,79
1,2,1
3,27,13
1,1,1
1,1,1
1,9,1
1,6,2
1,3,3
2,20,2
1,3,3
1,6,0
1,5,1
1,4,0
1,4,0
1,1,1
1,11,3
1,43,10
1,1,0
1,24,2
1,6,0
2,7,4
1,15,7
3,5,8
1,12,5
1,8,3
,,
min,1,0
max,93,79
1st,3,1
median,10,2
3rd,23,6
